arm,size,pct,off_pps,tx,rx,loss_pct,lat_min_us,p50_us,p90_us,p99_us,p999_us,lat_n,skipped,hist_n,jitter_n,imissed,ierrors,oerrors
rawA_dpdk,64,30.00,4674005,94513264,93620133,0.9450,4.971,28.000,30.000,310.000,316.000,38758,151,38758,169,238843,0,0
rawA_dpdk,64,35.00,5452641,109847492,109166774,0.6197,11.915,26.000,26.000,256.000,314.000,39342,86,39342,95,321319,0,0
rawA_dpdk,64,40.00,6231305,125467362,124818736,0.5170,13.447,24.000,24.000,310.000,314.000,39419,122,39419,49,98393,0,0
rawA_dpdk,64,45.00,7009949,141238518,139502597,1.2291,20.061,82.000,84.000,310.000,316.000,38472,332,38472,79,183657,0,0
rawA_dpdk,64,50.00,10132587,156773470,139024236,11.3216,22.547,84.000,88.000,312.000,316.000,33238,2826,33238,60,174736,0,0
rawA_dpdk,64,60.00,8303253,166066633,139252310,16.1467,23.564,310.000,314.000,316.000,326.000,27664,5284,27664,3,6906,0,0
rawA_dpdk,64,70.00,8311311,166245108,139246960,16.2400,76.488,310.000,312.000,316.000,318.000,27887,5186,27887,14,28390,0,0
rawA_dpdk,64,80.00,8304039,166095441,139267671,16.1520,75.477,310.000,314.000,316.000,318.000,27764,5261,27764,12,8761,0,0
rawA_dpdk,64,90.00,8302989,166097171,139197277,16.1953,45.487,310.000,312.000,316.000,318.000,27540,5368,27540,13,44358,0,0
rawA_dpdk,64,100.00,0,166061897,139209986,16.1698,71.414,310.000,314.000,316.000,318.000,27622,5328,27622,10,23976,0,0
rawA_dpdk,128,30.00,2597531,52359993,52241952,0.2254,5.312,28.000,30.000,30.000,312.000,38521,26,38521,26,9576,0,0
rawA_dpdk,128,35.00,3030097,60988288,60889579,0.1618,6.368,32.000,34.000,34.000,312.000,39372,24,39372,10,0,0,0
rawA_dpdk,128,40.00,3462713,69693363,69438684,0.3654,18.069,32.000,34.000,34.000,312.000,38395,35,38395,33,77203,0,0
rawA_dpdk,128,45.00,3895402,78400714,78241464,0.2031,16.876,28.000,30.000,30.000,312.000,39180,30,39180,14,5749,0,0
rawA_dpdk,128,50.00,4328051,87111170,86925010,0.2137,17.481,30.000,30.000,32.000,314.000,39667,35,39667,12,801,0,0
rawA_dpdk,128,60.00,5193266,104522916,104181609,0.3265,17.316,26.000,26.000,30.000,314.000,39377,67,39377,42,6828,0,0
rawA_dpdk,128,70.00,6058294,121927926,121446886,0.3945,14.794,22.000,24.000,312.000,314.000,39190,100,39190,22,11631,0,0
rawA_dpdk,128,80.00,6923570,139349959,138370192,0.7031,14.768,28.000,32.000,312.000,314.000,38875,182,38875,23,22466,0,0
rawA_dpdk,128,90.00,7788713,156771196,139106760,11.2677,20.247,84.000,88.000,314.000,316.000,31568,3596,31568,8,15670,0,0
rawA_dpdk,128,100.00,8292563,165833362,139059062,16.1453,13.498,312.000,314.000,316.000,318.000,27287,5374,27287,9,6374,0,0
rawA_dpdk,256,30.00,1376062,27695994,27695994,0.0000,21.821,34.000,34.000,34.000,456.000,39034,0,39034,12,0,0,0
rawA_dpdk,256,35.00,1605060,32305227,32305211,0.0000,21.774,34.000,34.000,34.000,452.000,38537,1,38537,15,0,0,0
rawA_dpdk,256,40.00,1834933,36915107,36915107,0.0000,21.762,34.000,34.000,34.000,452.000,38179,0,38179,9,0,0,0
rawA_dpdk,256,45.00,2063015,41523461,41520841,0.0063,21.749,34.000,34.000,34.000,458.000,37890,1,37890,17,2533,0,0
rawA_dpdk,256,50.00,2292263,46135748,46135748,0.0000,24.773,42.000,42.000,44.000,452.000,39748,0,39748,19,0,0,0
rawA_dpdk,256,60.00,2750202,55352123,55352123,0.0000,23.965,42.000,42.000,260.000,452.000,39035,0,39035,17,0,0,0
