arm,workload,throughput_ops_sec,p99_read_us,p99_update_us,p99_insert_us
fsA,a,77279.75270479135,263,424,
fsA,b,88339.22261484098,244,835,
fsA,c,92850.51067780872,340,,
fsA,f,55803.57142857143,245,346,
fsA,load,40453.074433656955,,,1126
fsB,a,77101.00231303007,265,358,
fsB,b,73800.73800738007,302,444,
fsB,c,72674.41860465116,328,,
fsB,f,53879.31034482759,252,303,
fsB,load,30599.755201958385,,,1128
fsBrev,a,44782.80340349306,290,402,
fsBrev,b,66225.16556291391,305,607,
fsBrev,c,42265.426880811494,276,,
fsBrev,f,48007.68122899664,262,296,
fsBrev,load,14096.4195094446,,,806
